Attaching to jenkins
jenkins  | Running from: /usr/share/jenkins/jenkins.war
jenkins  | 2021-09-27 16:09:54.490+0000 [id=30]	WARNING	i.j.p.c.SecretSourceResolver$UnresolvedLookup#lookup: Configuration import: Found unresolved variable 'github-ci-token'. Will default to empty string
jenkins  | 2021-09-27 16:09:55.080+0000 [id=30]	WARNING	i.j.p.casc.BaseConfigurator#createAttribute: Can't handle class org.boozallen.plugins.jte.init.governance.TemplateGlobalConfig#metaClass: type is abstract but not Describable.
jenkins  | 2021-09-27 16:09:55.140+0000 [id=30]	WARNING	i.j.p.casc.BaseConfigurator#createAttribute: Can't handle class jenkins.plugins.git.GitSCMSource#owner: type is abstract but not Describable.
jenkins  | 2021-09-27 16:09:55.153+0000 [id=30]	WARNING	i.j.p.casc.BaseConfigurator#createAttribute: Can't handle class org.boozallen.plugins.jte.init.governance.TemplateGlobalConfig#metaClass: type is abstract but not Describable.
jenkins  | 2021-09-27 16:09:55.153+0000 [id=30]	WARNING	i.j.p.casc.BaseConfigurator#createAttribute: Can't handle class org.boozallen.plugins.jte.init.governance.GovernanceTier#metaClass: type is abstract but not Describable.
jenkins  | 2021-09-27 16:09:55.155+0000 [id=30]	WARNING	i.j.p.casc.BaseConfigurator#createAttribute: Can't handle class org.boozallen.plugins.jte.init.governance.libs.ScmLibraryProvider#metaClass: type is abstract but not Describable.
jenkins  | 2021-09-27 16:09:55.158+0000 [id=30]	WARNING	i.j.p.casc.BaseConfigurator#createAttribute: Can't handle class org.boozallen.plugins.jte.init.governance.libs.LibrarySource#metaClass: type is abstract but not Describable.
jenkins  | 2021-09-27 16:09:55.160+0000 [id=30]	WARNING	i.j.p.casc.BaseConfigurator#createAttribute: Can't handle class org.boozallen.plugins.jte.init.governance.config.NullPipelineConfigurationProvider#metaClass: type is abstract but not Describable.
jenkins  | Processing provided DSL script
jenkins  | 2021-09-27 16:09:56.545+0000 [id=30]	WARNING	o.j.h.a.Index$2$1#fetch: Failed to load org.jenkinsci.plugins.github.pullrequest.extra.GitHubPRLabelUnblockQueueCondition$DescriptorImpl
jenkins  | java.lang.ClassNotFoundException: org.jenkinsci.plugins.blockqueuedjob.condition.BlockQueueCondition$BlockQueueConditionDescriptor
jenkins  | 	at jenkins.util.AntClassLoader.findClassInComponents(AntClassLoader.java:1394)
jenkins  | 	at jenkins.util.AntClassLoader.findClass(AntClassLoader.java:1349)
jenkins  | 	at jenkins.util.AntClassLoader.loadClass(AntClassLoader.java:1095)
jenkins  | 	at java.base/java.lang.ClassLoader.loadClass(ClassLoader.java:522)
jenkins  | Caused: java.lang.NoClassDefFoundError: org/jenkinsci/plugins/blockqueuedjob/condition/BlockQueueCondition$BlockQueueConditionDescriptor
jenkins  | 	at java.base/java.lang.ClassLoader.defineClass1(Native Method)
jenkins  | 	at java.base/java.lang.ClassLoader.defineClass(ClassLoader.java:1017)
